keys,en
--UNITS--,--------------------
LIGHT_INF,Light Infantry
HEAVY_INF,Heavy Infantry
RECON,Recon Mech
TANK,Tank
MEDIUM_TANK,Medium tank
ARTILLERY,Artillery
HEAVY_ARTILLERY,Heavy artillery
ANTI_AIR,Anti air mech
DRONE,Drone
BATTLESHIP,Battleship
,
,
,
,
,
,
--UNIT DESCRIPTIONS--,--------------------
LIGHT_INF_DESC,Small mechs that can capture buildings and are the base of any army.
HEAVY_INF_DESC,Small mechs armed with anti-mech cannons. Can capture buildings.
RECON_DESC,Agile robot that scouts the field and fends off infantry.
TANK_DESC,Strong but mobile mech that serves as the main armored unit of land forces.
MEDIUM_TANK_DESC,"Slower and stronger than a Tank, this unit requires an answer from the enemy army."
ARTILLERY_DESC,Useful for defending positions and making the enemy think twice.
HEAVY_ARTILLERY_DESC,"With longer range and better firepower than Artillery, this is the ultimate deterrence unit."
ANTI_AIR_DESC,This mech excels at taking down aerial opponents.
DRONE_DESC,"Powerful and versatile air unit, with excellent mobility. Spends energy each turn to stay airborne."
BATTLESHIP_DESC,"A mobile battle station, can hit positions from very far away and cause severe damage."
,
,
,
,
,
--WEAPONS--,--------------------
LASER_GUN,Laser gun
CANNON,Cannon
MEDIUM_CANNON,Medium cannon
ARTILLERY_CANNON,Artillery cannon
ENERGY_CANNON,Energy cannon
FLAK_CANNON,Flak cannon
ATG_MISSILE,ATG missile
DESTROYER_CANNON,Destroyer cannon
NONE,None
,
,
--BUILDINGS--,--------------------
RUINS,Ruins
FACTORY,Factory
AIRPORT,Airport
PORT,Port
RESEARCH,Research plant
POWER_PLANT,Power plant
,
,
,
--BUILDING DESCRIPTIONS--,--------------------
RUINS_DESC,"Remnants of destroyed human cities, they can be pillaged for scrap to build robots."
FACTORY_DESC,"Old workshop used to mass produce land mechs. With enough parts, more can be made even now."
AIRPORT_DESC,Factory for air units.
PORT_DESC,Ancient harbor fitted to construct and repair naval mechs.
RESEARCH_DESC,Building complex dedicated to research and development of weapons and tactics.
POWER_PLANT_DESC,"Power station that provides additional power to your army, enhancing it."
,
,
--TERRAIN--,--------------------
PLAINS,Plains
FOREST,Forest
HILL,Hill
MOUNTAIN,Mountain
SEA,Sea
ROAD,Road
RIVER,River
WASTELAND,Wasteland
REEF,Reef
ENERGY_RELAY,Energy relay
SCRAPYARD,Scrapyard
BEACH,Beach
,
,
,
